Build,ImbalanceRatio,AvgAPFD
54745798,0.3472222222222222,0.9906678627235372
54755692,0.3472222222222222,0.9995540875309661
54771865,0.3472222222222222,0.9974882675656025
54775074,0.3472222222222222,0.99804992199688
54832621,0.3472222222222222,0.9995729294194688
54834358,0.3472222222222222,0.9928904028250883
54836125,0.3472222222222222,0.9984319169173028
54836411,0.3472222222222222,0.9973678018940062
54843551,0.3472222222222222,0.9975004600380298
54854348,0.3472222222222222,0.9995824285952898
54854756,0.3472222222222222,0.9996342569564328
54854778,0.3472222222222222,0.9971833518113444
54857293,0.3472222222222222,0.9995536378515102
54860044,0.3472222222222222,0.9971498470948011
54860058,0.3472222222222222,0.9994339907426042
54860424,0.3472222222222222,0.9983623618721114
54869143,0.3472222222222222,0.9993077918560209
54871037,0.3472222222222222,0.9995429616087751
54872957,0.3472222222222222,0.9954758620689657
54874886,0.3472222222222222,0.9927333333333334
54876773,0.3472222222222222,0.9979963265987644
54878917,0.3472222222222222,0.9992026846915462
54889844,0.3472222222222222,0.9971981882585215
54890621,0.3472222222222222,0.9996183300091108
54897704,0.3472222222222222,0.9929230939348704
54908152,0.3472222222222222,0.9995586188164193
54924771,0.3472222222222222,0.9991933187814368
54984653,0.3472222222222222,0.9919125258799172
54987708,0.3472222222222222,0.9932215073529413
54998480,0.3472222222222222,0.9996251573000616
55004652,0.3472222222222222,0.9947674576639756
55010513,0.3472222222222222,0.9985009187917084
55010567,0.3472222222222222,0.9991660742604036
55011370,0.3472222222222222,0.9990340030911898
55016677,0.3472222222222222,0.9967884191352698
55019589,0.3472222222222222,0.9977871475135311
55019902,0.3472222222222222,0.999635609373248
55019954,0.3472222222222222,0.9958972482818094
55020899,0.3472222222222222,0.9992624885275994
55020902,0.3472222222222222,0.9991378229245045
55022600,0.3472222222222222,0.9995702323517994
55022607,0.3472222222222222,0.9992981813743441
55023715,0.3472222222222222,0.994472406974654
55026017,0.3472222222222222,0.9995654063450674
55026789,0.3472222222222222,0.9987802872492052
55027890,0.3472222222222222,0.9927414937001643
55030177,0.3472222222222222,0.9993186242699543
55030244,0.3472222222222222,0.9994529863985807
55034121,0.3472222222222222,0.9993544319000719
55037098,0.3472222222222222,0.9957612315718378
55038098,0.3472222222222222,0.9992622209529248
55044539,0.3472222222222222,0.9981380337636544
55049544,0.3472222222222222,0.9994051867713537
55064678,0.3472222222222222,0.9992193702037577
55080337,0.3472222222222222,0.999406657922678
55105445,0.3472222222222222,0.9964118702391106
55105581,0.3472222222222222,0.9972219859965415
55137819,0.3472222222222222,0.9910319263422217
55140178,0.3472222222222222,0.9992416504163184
55140181,0.3472222222222222,0.9957631198844489
55140587,0.3472222222222222,0.9993029246855583
55141028,0.3472222222222222,0.999429646951463
55141113,0.3472222222222222,0.9967490627928772
55141693,0.3472222222222222,0.99710386656558
55142663,0.3472222222222222,0.9988281135557964
55143834,0.3472222222222222,0.9995805108445716
